feature,source,mean_abs_shap
cnn_483,CNN,0.008374651
cnn_509,CNN,0.008363437
cnn_1208,CNN,0.00835105
vit_167,ViT,0.008314749
cnn_656,CNN,0.0083046565
cnn_455,CNN,0.008238681
cnn_275,CNN,0.008234272
cnn_837,CNN,0.008183601
cnn_1059,CNN,0.008110764
cnn_1180,CNN,0.008108795
cnn_1112,CNN,0.008081581
vit_377,ViT,0.008044832
cnn_1027,CNN,0.008033879
cnn_1044,CNN,0.008021209
cnn_1014,CNN,0.0079996465
cnn_488,CNN,0.007997832
cnn_97,CNN,0.007937035
cnn_785,CNN,0.00793051
cnn_732,CNN,0.007829433
vit_91,ViT,0.0077985786
vit_180,ViT,0.007737428
cnn_530,CNN,0.0076984554
vit_246,ViT,0.00769272
cnn_15,CNN,0.0076049627
cnn_920,CNN,0.0076020374
cnn_327,CNN,0.0075916476
cnn_505,CNN,0.00758685
cnn_102,CNN,0.007570708
cnn_1087,CNN,0.0075205476
vit_40,ViT,0.0075104386
cnn_1126,CNN,0.0074811913
vit_326,ViT,0.007471083
vit_152,ViT,0.0074381996
cnn_686,CNN,0.0074245273
vit_175,ViT,0.0073843393
cnn_1022,CNN,0.0073759193
cnn_808,CNN,0.007373755
vit_229,ViT,0.007340829
cnn_744,CNN,0.007308755
cnn_482,CNN,0.007272771
vit_362,ViT,0.0072711976
cnn_1142,CNN,0.0072680814
cnn_56,CNN,0.007266664
cnn_179,CNN,0.00724992
vit_245,ViT,0.0072281007
cnn_866,CNN,0.0071546226
cnn_768,CNN,0.0071279537
cnn_50,CNN,0.0070732706
cnn_609,CNN,0.007046819
vit_225,ViT,0.0070418506
vit_281,ViT,0.007025808
cnn_1197,CNN,0.0069927066
cnn_53,CNN,0.006952245
cnn_764,CNN,0.0069494927
cnn_970,CNN,0.0069345003
vit_216,ViT,0.0068851546
cnn_1191,CNN,0.0068808543
vit_300,ViT,0.0068632336
vit_373,ViT,0.0068621575
vit_139,ViT,0.006818843
cnn_655,CNN,0.006813861
cnn_502,CNN,0.006811074
vit_189,ViT,0.0067924093
cnn_972,CNN,0.0067878
vit_61,ViT,0.006756438
cnn_134,CNN,0.006698908
vit_79,ViT,0.006677381
cnn_677,CNN,0.0066559166
vit_257,ViT,0.0066409064
cnn_746,CNN,0.006610312
cnn_475,CNN,0.006603542
cnn_870,CNN,0.006571881
cnn_832,CNN,0.006567847
cnn_1019,CNN,0.0065646563
vit_220,ViT,0.0065069734
vit_146,ViT,0.00648291
cnn_354,CNN,0.0064817155
cnn_57,CNN,0.0064746574
cnn_313,CNN,0.006467559
cnn_1176,CNN,0.0064635156
cnn_630,CNN,0.0064610685
cnn_714,CNN,0.006405236
cnn_302,CNN,0.0064011468
cnn_968,CNN,0.0063888784
cnn_743,CNN,0.0063861487
cnn_648,CNN,0.006335689
vit_380,ViT,0.006312176
cnn_1082,CNN,0.006288677
vit_150,ViT,0.006286302
cnn_791,CNN,0.0062708263
cnn_164,CNN,0.0062567797
cnn_1065,CNN,0.0062228227
glcm_energy_135,Handcrafted,0.0062226867
cnn_943,CNN,0.0062034023
cnn_573,CNN,0.0062020184
cnn_170,CNN,0.0061722603
vit_352,ViT,0.0061706267
cnn_593,CNN,0.006168814
glcm_contrast_135,Handcrafted,0.0061664865
vit_251,ViT,0.0061586634
cnn_570,CNN,0.00615737
vit_179,ViT,0.006149594
cnn_293,CNN,0.006096831
cnn_71,CNN,0.0060926843
cnn_377,CNN,0.006092549
cnn_137,CNN,0.0060901647
vit_316,ViT,0.006072025
cnn_528,CNN,0.006054138
cnn_1165,CNN,0.0060275886
cnn_984,CNN,0.0059738443
cnn_130,CNN,0.005970082
cnn_975,CNN,0.0059601734
cnn_786,CNN,0.005959363
vit_192,ViT,0.005929355
cnn_896,CNN,0.005912642
cnn_1157,CNN,0.0058976896
vit_230,ViT,0.005892055
cnn_309,CNN,0.0058778143
cnn_735,CNN,0.0058676032
cnn_431,CNN,0.005863069
vit_266,ViT,0.0058352454
cnn_919,CNN,0.005806344
cnn_527,CNN,0.0057955114
cnn_784,CNN,0.005781171
cnn_201,CNN,0.005774788
cnn_699,CNN,0.0057261838
cnn_877,CNN,0.0057223625
cnn_977,CNN,0.005698081
cnn_22,CNN,0.005685206
cnn_601,CNN,0.005683366
cnn_947,CNN,0.0056780875
cnn_277,CNN,0.0056626536
vit_375,ViT,0.005653342
vit_177,ViT,0.0056495843
vit_338,ViT,0.0056278617
vit_28,ViT,0.0056083845
cnn_979,CNN,0.005592188
cnn_1235,CNN,0.0055868165
cnn_109,CNN,0.00557158
vit_298,ViT,0.0055705565
cnn_848,CNN,0.0055243955
cnn_30,CNN,0.005498992
cnn_226,CNN,0.0054980423
cnn_759,CNN,0.005471472
cnn_243,CNN,0.0054602474
cnn_1170,CNN,0.005428816
cnn_1226,CNN,0.0054111653
cnn_416,CNN,0.005410848
cnn_511,CNN,0.0054002814
cnn_359,CNN,0.0053718095
cnn_541,CNN,0.00535768
cnn_286,CNN,0.0053071636
cnn_446,CNN,0.005300532
cnn_228,CNN,0.0052685887
cnn_469,CNN,0.0052604936
cnn_742,CNN,0.0052581723
cnn_421,CNN,0.005253041
vit_199,ViT,0.005250718
vit_187,ViT,0.0052433256
cnn_29,CNN,0.005235355
vit_116,ViT,0.0052259187
vit_159,ViT,0.005220535
vit_363,ViT,0.0051986654
cnn_189,CNN,0.0051979036
cnn_274,CNN,0.0051774452
cnn_187,CNN,0.005176016
cnn_819,CNN,0.005172859
cnn_68,CNN,0.0051674885
cnn_1214,CNN,0.005162156
cnn_826,CNN,0.0051517934
cnn_1139,CNN,0.0051379655
cnn_289,CNN,0.0051171007
cnn_1010,CNN,0.005110755
vit_350,ViT,0.0050915494
cnn_383,CNN,0.0050886883
cnn_946,CNN,0.005077896
vit_378,ViT,0.005057283
cnn_252,CNN,0.005048818
cnn_1230,CNN,0.0050348104
cnn_1097,CNN,0.005012112
vit_383,ViT,0.0049826754
cnn_1106,CNN,0.004974294
cnn_240,CNN,0.0049730353
cnn_974,CNN,0.0049547013
glcm_homog_90,Handcrafted,0.0049482747
cnn_25,CNN,0.004945245
cnn_1104,CNN,0.004939024
cnn_778,CNN,0.0049272273
vit_280,ViT,0.0048825582
cnn_688,CNN,0.004855532
vit_178,ViT,0.004841038
cnn_235,CNN,0.004835573
cnn_1249,CNN,0.0048320885
cnn_1243,CNN,0.0048211985
cnn_222,CNN,0.0048122345
cnn_436,CNN,0.004810102
cnn_1263,CNN,0.0048031537
vit_346,ViT,0.00479559
cnn_1073,CNN,0.0047791805
cnn_333,CNN,0.0047760378
vit_294,ViT,0.004772944
cnn_432,CNN,0.0047559603
cnn_320,CNN,0.0047433693
cnn_203,CNN,0.0047384975
cnn_239,CNN,0.0047281086
cnn_611,CNN,0.0046993983
cnn_70,CNN,0.0046849935
vit_202,ViT,0.0046738666
vit_171,ViT,0.004654387
cnn_156,CNN,0.004650554
cnn_217,CNN,0.0046428163
cnn_1232,CNN,0.004631699
vit_154,ViT,0.0046213553
cnn_983,CNN,0.0046211253
cnn_836,CNN,0.004619501
cnn_901,CNN,0.0046150805
cnn_937,CNN,0.004601791
cnn_647,CNN,0.0045896857
cnn_969,CNN,0.0045894813
cnn_737,CNN,0.0045648655
cnn_925,CNN,0.004523141
cnn_886,CNN,0.004519676
cnn_1250,CNN,0.0045180265
vit_235,ViT,0.0045166705
cnn_774,CNN,0.0045105196
cnn_715,CNN,0.0045082318
cnn_908,CNN,0.004478707
cnn_775,CNN,0.0044762404
cnn_958,CNN,0.0044756113
cnn_184,CNN,0.00447132
cnn_1121,CNN,0.004455023
cnn_108,CNN,0.004446083
vit_142,ViT,0.0044427025
cnn_373,CNN,0.0044402317
cnn_1129,CNN,0.004418536
vit_182,ViT,0.0044101053
vit_315,ViT,0.0044042515
cnn_138,CNN,0.00438833
cnn_85,CNN,0.0043799626
cnn_1109,CNN,0.0043696766
cnn_649,CNN,0.00435515
cnn_633,CNN,0.004341622
cnn_863,CNN,0.004337507
vit_262,ViT,0.0043186755
vit_193,ViT,0.0043098517
cnn_305,CNN,0.004298383
cnn_888,CNN,0.004295893
cnn_306,CNN,0.004282864
cnn_820,CNN,0.0042815274
cnn_241,CNN,0.0042760572
vit_94,ViT,0.0042593856
cnn_682,CNN,0.00425308
cnn_1034,CNN,0.004246489
cnn_376,CNN,0.004244567
cnn_447,CNN,0.0042354944
cnn_397,CNN,0.0042172098
cnn_525,CNN,0.0041906764
cnn_1096,CNN,0.0041759503
cnn_196,CNN,0.004161135
cnn_322,CNN,0.0041509136
cnn_672,CNN,0.0041465443
cnn_112,CNN,0.0041229306
cnn_632,CNN,0.0040847557
cnn_153,CNN,0.004082267
cnn_1099,CNN,0.004069785
cnn_495,CNN,0.004045838
cnn_701,CNN,0.004035066
cnn_905,CNN,0.004033989
cnn_1268,CNN,0.0040253308
cnn_48,CNN,0.003998311
cnn_885,CNN,0.0039973743
cnn_387,CNN,0.003990986
cnn_942,CNN,0.0039862925
cnn_371,CNN,0.0039633634
vit_147,ViT,0.0039516864
cnn_587,CNN,0.0039491854
cnn_553,CNN,0.0039332653
cnn_1227,CNN,0.0039022707
vit_310,ViT,0.0038802056
vit_368,ViT,0.0038550464
cnn_1105,CNN,0.0038269332
cnn_308,CNN,0.0038089291
cnn_429,CNN,0.0038088006
cnn_650,CNN,0.0037701002
cnn_1069,CNN,0.0037694545
cnn_251,CNN,0.0037517813
cnn_405,CNN,0.0037441975
cnn_1258,CNN,0.003727797
cnn_290,CNN,0.0037135447
cnn_510,CNN,0.0036990454
cnn_1172,CNN,0.0036982386
cnn_303,CNN,0.0036958212
cnn_1051,CNN,0.003684354
cnn_859,CNN,0.003668584
cnn_1233,CNN,0.0036637445
glcm_homog_45,Handcrafted,0.003657672
cnn_456,CNN,0.0036403676
cnn_860,CNN,0.003613132
cnn_903,CNN,0.003591442
cnn_390,CNN,0.0035892683
cnn_910,CNN,0.0035816918
cnn_463,CNN,0.0035802464
cnn_485,CNN,0.0035786596
vit_118,ViT,0.0035775283
cnn_426,CNN,0.0035446293
cnn_1075,CNN,0.0035401415
vit_324,ViT,0.0035393985
cnn_1270,CNN,0.0035125942
cnn_35,CNN,0.0034833602
cnn_858,CNN,0.0034718334
cnn_437,CNN,0.0034701144
cnn_700,CNN,0.0034609865
vit_279,ViT,0.0034582792
cnn_797,CNN,0.003443233
cnn_854,CNN,0.0034399393
cnn_347,CNN,0.003435878
cnn_698,CNN,0.0034291262
cnn_54,CNN,0.0034193574
cnn_1154,CNN,0.0034186528
cnn_351,CNN,0.0033992687
vit_43,ViT,0.0033922389
vit_8,ViT,0.003379412
cnn_1136,CNN,0.0033787997
cnn_835,CNN,0.0033630235
cnn_1215,CNN,0.003361953
cnn_711,CNN,0.0033515173
vit_101,ViT,0.003349917
cnn_852,CNN,0.0033467454
cnn_1181,CNN,0.0033415325
vit_92,ViT,0.0033395004
cnn_935,CNN,0.0033186125
cnn_1001,CNN,0.0033045164
cnn_660,CNN,0.0032851058
cnn_44,CNN,0.0032652265
cnn_765,CNN,0.003237854
vit_208,ViT,0.0032285645
vit_16,ViT,0.0032231517
cnn_1053,CNN,0.0032183314
vit_156,ViT,0.0031915798
cnn_934,CNN,0.0031828133
vit_115,ViT,0.0031776766
cnn_318,CNN,0.0031591707
cnn_623,CNN,0.0031554224
cnn_1183,CNN,0.003150732
cnn_631,CNN,0.003137348
vit_81,ViT,0.003134816
cnn_98,CNN,0.0031347892
cnn_705,CNN,0.0031237265
cnn_1048,CNN,0.0031225097
cnn_1041,CNN,0.003119809
glcm_homog_135,Handcrafted,0.0031190491
vit_183,ViT,0.0031089473
cnn_745,CNN,0.0030968934
cnn_840,CNN,0.0030919632
cnn_284,CNN,0.0030827373
cnn_341,CNN,0.0030793922
cnn_993,CNN,0.0030749766
cnn_1245,CNN,0.0030686816
vit_308,ViT,0.0030651493
vit_163,ViT,0.003062676
vit_172,ViT,0.0030610447
cnn_646,CNN,0.0030443042
cnn_578,CNN,0.0030348354
cnn_618,CNN,0.0030345232
vit_119,ViT,0.003029961
vit_272,ViT,0.003022459
vit_136,ViT,0.003021279
cnn_562,CNN,0.003005334
cnn_724,CNN,0.0029990075
cnn_83,CNN,0.0029886037
cnn_834,CNN,0.0029786387
cnn_733,CNN,0.0029776266
cnn_209,CNN,0.0029557287
cnn_254,CNN,0.0029544486
cnn_1079,CNN,0.0029462888
cnn_1084,CNN,0.0029368622
cnn_11,CNN,0.0029286048
cnn_769,CNN,0.0029021695
vit_314,ViT,0.0028992263
cnn_1092,CNN,0.002888265
cnn_941,CNN,0.0028872024
cnn_343,CNN,0.0028863177
cnn_200,CNN,0.0028798848
cnn_639,CNN,0.002859846
cnn_734,CNN,0.002858658
cnn_1138,CNN,0.0028572618
vit_112,ViT,0.0028523726
cnn_1257,CNN,0.0028428545
cnn_34,CNN,0.0028395506
vit_250,ViT,0.0028276143
cnn_63,CNN,0.0028207146
cnn_315,CNN,0.002816596
cnn_167,CNN,0.0028070475
cnn_481,CNN,0.0028029503
vit_351,ViT,0.0027761967
cnn_336,CNN,0.0027662455
cnn_645,CNN,0.0027650848
cnn_115,CNN,0.0027602308
cnn_922,CNN,0.0027577837
cnn_194,CNN,0.002738418
vit_218,ViT,0.0027355754
vit_244,ViT,0.0027235062
